Label	logFC	FDR
 C21orf82 	0.0146534	4.43E-01
 C21orf84 	0.0130258	3.77E-01
 C21orf88 	0.030792	2.52E-01
 C21orf89 	-0.0148928	3.39E-01
 C21orf90 	0.0359009	3.27E-01
 C21orf91 	0.0701814	2.46E-01
 C21orf93 	-0.0391837	1.69E-01
 C21orf94 	0.0015737	8.70E-01
 C21orf96 	0.0250969	1.27E-01
 C22orf13 	0.0335259	8.03E-01
 C22orf15 	-0.0244975	9.66E-03
 C22orf23 	-0.0531354	4.42E-05
 C22orf24 	-0.004015	7.94E-01
 C22orf25 	0.0442054	2.65E-01
 C22orf26 	-0.0256219	4.88E-01
 C22orf27 	0.0142428	3.00E-01
 C22orf28 	0.2922294	7.72E-03
 C22orf29 	0.1262981	4.00E-05
 C22orf30 	0.2609098	2.06E-04
 C22orf31 	0.001728	8.51E-01
 C22orf32 	-0.3828038	3.12E-03
 C22orf33 	-0.0122525	1.75E-01
 C22orf34 	-0.0220441	3.62E-01
 C22orf36 	-0.0866195	2.19E-02
 C22orf37 	-0.0272905	9.62E-02
 C22orf39 	-0.0052012	9.03E-01
 C22orf40 	0.0836984	6.08E-03
 C22orf43 	0.0058837	5.43E-01
 C22orf46 	0.0666201	2.27E-02
 C22orf9 	0.6759743	4.09E-10
 C2CD2 	0.0625288	2.64E-01
 C2CD2L 	-0.0808737	1.24E-01
 C2CD3 	0.1477161	6.20E-07
 C2CD4A 	0.1482358	7.57E-02
 C2CD4B 	-0.0107179	2.04E-01
 C2orf15 	0.0827014	4.65E-03
 C2orf16 	-0.0277566	1.41E-04
 C2orf18 	0.283538	2.50E-04
 C2orf19 	-0.0404817	1.16E-02
 C2orf24 	0.4231702	2.49E-05
 C2orf27A 	0.1144251	1.01E-01
 C2orf27B 	-0.1346724	2.14E-05
 C2orf28 	0.2330133	3.36E-02
 C2orf29 	0.5220005	2.52E-08
 C2orf3 	0.0917072	8.04E-03
 C2orf34 	0.1371999	4.85E-05
 C2orf39 	-0.0142814	3.67E-02
 C2orf40 	0.1626608	3.04E-01
 C2orf42 	0.1150538	1.01E-02
 C2orf43 	0.2372675	2.32E-04
 C2orf44 	0.0962583	1.89E-05
 C2orf46 	0.0111514	2.41E-01
 C2orf47 	0.3813112	1.66E-04
 C2orf48 	0.0521784	2.23E-02
 C2orf49 	0.1217246	2.24E-02
 C2orf50 	-0.0318137	1.73E-01
 C2orf51 	-0.1126114	3.13E-05
 C2orf52 	0.0401711	5.63E-03
 C2orf53 	-0.0229715	4.48E-02
 C2orf54 	-0.0381137	2.16E-01
 C2orf55 	-0.2240655	3.19E-07
 C2orf56 	0.3256688	3.69E-06
 C2orf57 	-0.077273	2.02E-03
 C2orf58 	-0.0043051	6.86E-01
 C2orf60 	0.1314807	4.38E-05
 C2orf61 	0.0016003	9.14E-01
 C2orf62 	-0.0562034	2.69E-03
 C2orf63 	0.0233212	5.02E-02
 C2orf64 	0.2655874	4.23E-04
 C2orf65 	0.0392792	1.86E-01
 C2orf67 	0.0248464	5.39E-01
 C2orf69 	0.1106782	2.79E-03
 C2orf7 	-0.03933	6.22E-01
 C2orf73 	-0.0055167	3.88E-01
 C2orf82 	-0.1899875	4.43E-03
 C2orf83 	-0.0009204	9.60E-01
 C2orf84 	-0.0134947	2.96E-02
 C2orf85 	-0.1412111	6.57E-05
 C2orf86 	-0.1073395	2.28E-03
 C2orf88 	0.0012172	9.92E-01
 C3 	1.1911374	2.36E-03
 C3AR1 	0.5749252	4.88E-06
 C3orf1 	0.3688798	7.59E-04
 C3orf10 	0.4709907	4.25E-04
 C3orf14 	0.0876502	4.70E-02
 C3orf15 	-0.0233845	5.28E-01
 C3orf17 	0.3569626	3.93E-07
 C3orf18 	-0.1338847	1.52E-06
 C3orf19 	-0.1242535	1.73E-01
 C3orf20 	-0.033275	1.91E-05
 C3orf21 	0.115043	9.66E-04
 C3orf22 	-0.0054727	6.99E-01
 C3orf23 	0.1422989	2.47E-04
 C3orf24 	-0.0041094	8.63E-01
 C3orf25 	-0.0501678	3.26E-04
 C3orf26 	0.4582121	2.89E-07
 C3orf27 	-0.0552134	1.16E-04
 C3orf30 	0.0011436	9.07E-01
 C3orf31 	0.2489678	1.18E-04
 C3orf32 	0.0372306	2.75E-01
 C3orf33 	0.009761	3.38E-01
 C3orf34 	0.014431	1.55E-01
 C3orf35 	-0.0058705	5.91E-01
 C3orf36 	-0.0564598	4.50E-02
 C3orf37 	0.6496138	3.07E-07
 C3orf38 	0.527248	2.52E-07
 C3orf39 	0.0854698	2.14E-02
 C3orf42 	0.0514296	1.11E-01
 C3orf46 	-0.015083	2.71E-01
 C3orf48 	0.0001055	9.91E-01
 C3orf49 	-0.0019344	8.39E-01
 C3orf51 	-0.0105959	4.13E-01
 C3orf52 	-0.0887658	3.22E-01
 C3orf54 	-0.0379949	3.33E-01
 C3orf57 	-0.1123969	2.26E-01
 C3orf58 	0.223219	4.13E-04
 C3orf59 	0.297485	3.89E-02
 C3orf62 	0.0803696	2.20E-02
 C3orf63 	0.5305193	5.25E-04
 C3orf64 	0.1165372	1.17E-04
 C3orf67 	0.0406929	8.89E-02
 C3orf75 	0.1400937	2.00E-03
 C4B 	-0.2524887	3.18E-01
 C4BPA 	0.3703885	1.36E-02
 C4BPB 	0.1738573	2.59E-01
 C4orf11 	-0.0193067	2.37E-02
 C4orf14 	0.0640771	3.61E-01
 C4orf17 	-0.009737	9.84E-02
 C4orf19 	0.0687272	5.20E-01
 C4orf21 	0.0700975	1.96E-04
 C4orf22 	-0.014823	3.87E-02
 C4orf23 	0.0735823	2.88E-02
 C4orf26 	-0.011756	2.60E-01
 C4orf27 	0.1163638	1.74E-01
 C4orf29 	0.0660138	8.25E-02
 C4orf3 	0.4957956	2.60E-02
 C4orf31 	0.0621412	5.84E-02
 C4orf32 	-0.1108962	2.15E-03
 C4orf33 	0.0790804	2.16E-01
 C4orf34 	-0.6634036	4.02E-06
 C4orf35 	0.0055916	5.56E-01
 C4orf36 	-0.0284459	9.00E-03
 C4orf37 	-0.0112456	5.56E-02
 C4orf38 	-0.0617236	3.44E-02
 C4orf39 	-0.0488071	1.65E-03
 C4orf40 	-0.0096271	4.09E-01
 C4orf41 	0.0608696	4.93E-01
 C4orf42 	0.1251317	2.30E-01
 C4orf43 	0.2907494	9.34E-04
 C4orf45 	-0.0104036	1.45E-01
 C4orf49 	-0.0317515	4.01E-02
 C4orf50 	-0.01454	3.07E-01
 C4orf6 	-0.0274635	4.84E-03
 C4orf7 	-0.0187214	8.26E-01
 C5 	-0.3639368	4.84E-05
 C5AR1 	0.2149593	4.54E-03
 C5orf13 	0.2481906	4.60E-03
 C5orf15 	0.0882976	1.95E-01
 C5orf17 	-0.0112613	5.81E-01
 C5orf20 	-0.0118972	3.62E-01
 C5orf22 	0.1971044	3.28E-03
 C5orf23 	-0.0147681	3.71E-01
 C5orf24 	0.363771	3.18E-08
 C5orf25 	-0.0364982	4.15E-01
 C5orf27 	-0.0698872	1.88E-04
 C5orf28 	0.2292545	1.29E-02
 C5orf30 	0.2163759	2.01E-02
 C5orf32 	-1.0467727	5.23E-06
 C5orf33 	0.0272737	8.66E-01
 C5orf34 	0.1508973	2.17E-06
 C5orf35 	0.0995604	1.78E-02
 C5orf36 	-0.0087631	3.89E-01
 C5orf38 	-0.2691126	5.26E-06
 C5orf39 	0.1002076	5.79E-02
 C5orf4 	-0.1417219	1.47E-03
 C5orf40 	-0.1343934	4.34E-03
 C5orf41 	0.0394436	4.25E-01
 C5orf42 	0.0365216	3.47E-01
 C5orf43 	0.1964194	5.72E-02
 C5orf44 	0.1014334	8.57E-02
 C5orf45 	0.0623409	9.42E-02
 C5orf46 	0.0063104	7.26E-01
 C5orf48 	-0.0184442	1.06E-01
 C5orf51 	0.1840149	6.49E-03
 C5orf53 	0.0839276	6.14E-01
 C5orf54 	0.0357697	6.08E-02
 C5orf55 	-0.0261518	6.07E-01
 C5orf58 	-0.0021194	8.60E-01
 C5orf62 	0.0106371	8.82E-01
 C6 	-0.072065	1.60E-01
 C6orf1 	0.1375081	6.54E-03
 C6orf10 	-0.0161242	1.39E-01
 C6orf105 	-1.0135786	4.34E-05
 C6orf106 	0.3769308	2.84E-06
 C6orf108 	0.6762743	1.10E-04
 C6orf114 	-0.0026462	8.59E-01
 C6orf115 	1.3689012	1.87E-07
 C6orf118 	-0.0028706	7.37E-01
 C6orf124 	0.0661076	1.14E-02
 C6orf125 	0.3803915	2.67E-03
 C6orf126 	-0.0353277	3.09E-02
 C6orf130 	0.4232198	4.40E-03
 C6orf136 	0.1167907	8.67E-02
 C6orf138 	-0.0403081	4.06E-02
 C6orf141 	0.0964405	2.72E-01
 C6orf142 	-0.0007174	9.27E-01
 C6orf145 	0.465338	1.29E-03
 C6orf146 	-0.0175859	3.16E-03
 C6orf15 	-0.0389303	1.35E-01
 C6orf150 	0.4693721	3.07E-08
 C6orf155 	-0.0653852	2.34E-01
 C6orf162 	0.3087252	3.46E-05
 C6orf165 	-0.0006117	9.37E-01
 C6orf168 	-0.0226401	2.84E-01
 C6orf170 	0.0843184	1.78E-02
 C6orf174 	-0.0062272	6.27E-01
 C6orf192 	0.3279943	5.68E-03
 C6orf195 	-0.0061734	6.61E-01
 C6orf201 	-0.0156693	4.72E-02
 C6orf203 	0.2723004	6.43E-03
 C6orf204 	-0.3328499	3.07E-06
 C6orf208 	-0.0134075	5.84E-01
 C6orf211 	0.271059	5.16E-04
 C6orf218 	-0.0018227	8.45E-01
 C6orf223 	0.241068	1.59E-03
 C6orf227 	-0.0432321	5.54E-03
 C6orf25 	0.010038	6.71E-01
 C6orf27 	-0.071286	8.30E-02
 C6orf35 	-0.0224421	6.82E-01
 C6orf47 	0.1904486	1.74E-03
 C6orf48 	0.9289827	2.97E-05
 C6orf54 	-0.0332104	3.39E-01
 C6orf57 	0.1796475	1.25E-03
 C6orf58 	-2.3127681	6.60E-07
 C6orf62 	0.1954232	1.53E-01
 C6orf64 	0.2974312	4.35E-03
 C6orf72 	0.3176963	2.33E-02
 C6orf81 	-0.0193363	1.06E-01
 C6orf89 	0.2117671	9.54E-03
 C6orf97 	0.0267124	3.21E-01
 C7 	0.6038086	2.03E-02
 C7orf10 	0.0829706	2.27E-01
 C7orf11 	0.6962535	4.93E-07
 C7orf13 	0.2174234	4.69E-02
 C7orf16 	-0.0087316	3.16E-01
 C7orf23 	0.3974048	1.34E-03
 C7orf25 	0.3779437	6.96E-05
 C7orf26 	0.3069275	1.68E-05
 C7orf27 	0.234598	9.55E-07
 C7orf29 	0.072929	1.01E-02
 C7orf31 	0.0568726	1.46E-01
 C7orf33 	-0.0015285	9.08E-01
 C7orf34 	-0.0281163	6.56E-02
 C7orf36 	0.7740842	3.41E-06
 C7orf41 	-0.3878126	4.32E-03
 C7orf42 	0.4011018	1.36E-04
 C7orf43 	0.0846928	1.50E-01
 C7orf44 	0.316173	9.85E-05
 C7orf45 	-0.0100817	2.80E-01
 C7orf46 	0.0329372	7.31E-01
 C7orf47 	0.5951484	1.46E-09
 C7orf49 	0.2477434	2.58E-03
 C7orf50 	0.0741084	1.83E-01
 C7orf51 	-0.092691	5.69E-06
 C7orf52 	-0.0305668	4.21E-02
 C7orf53 	0.0203804	3.79E-01
 C7orf54 	0.0775461	1.07E-01
 C7orf55 	0.1306639	2.04E-01
 C7orf58 	0.1474732	2.43E-01
 C7orf60 	0.2451222	2.48E-04
 C7orf61 	-0.062141	2.58E-03
 C7orf62 	-0.014106	4.32E-01
 C7orf63 	0.0284747	4.51E-02
 C7orf64 	0.1262531	4.32E-04
 C7orf68 	0.3773263	1.94E-05
 C7orf69 	0.0117642	4.58E-01
 C7orf70 	0.2787894	9.25E-09
 C8A 	-0.0189269	3.18E-02
 C8B 	-0.0241034	9.20E-04
 C8G 	0.0887596	4.99E-01
 C8orf12 	-0.0259799	1.06E-02
 C8orf17 	-0.0528607	1.03E-03
 C8orf22 	-0.0006067	9.43E-01
 C8orf31 	0.019492	3.63E-01
 C8orf33 	0.6965607	6.97E-09
 C8orf34 	-0.0080247	5.84E-01
 C8orf37 	0.0471125	1.27E-01
 C8orf38 	0.2497013	1.20E-04
 C8orf39 	0.0138855	1.37E-01
 C8orf4 	-0.029659	9.07E-01
 C8orf40 	0.2920637	1.74E-01
 C8orf41 	0.2384655	2.29E-05
 C8orf42 	-0.053145	6.36E-02
 C8orf44 	0.076281	2.92E-03
 C8orf45 	0.0198414	2.88E-01
 C8orf46 	-0.0608868	1.26E-04
 C8orf47 	-0.061521	4.93E-01
 C8orf48 	-0.008775	3.06E-01
 C8orf51 	0.0358164	2.22E-01
 C8orf54 	-0.0088345	2.71E-01
 C8orf55 	0.4976626	1.55E-07
 C8orf56 	-0.0280172	8.32E-02
 C8orf58 	0.0598244	1.59E-02
 C8orf59 	1.0911727	1.82E-08
 C8orf68 	-0.0274664	2.60E-02
 C8orf71 	-0.0355868	1.88E-03
 C8orf77 	-0.0514822	9.86E-02
 C8orf78 	-0.0474987	5.52E-05
 C8orf79 	-0.0555125	1.85E-03
 C8orf84 	-0.6368445	7.52E-07
 C8orf86 	-0.0109436	3.28E-01
 C9 	-0.0086208	5.92E-01
 C9orf100 	0.0820418	2.53E-02
 C9orf102 	0.1728275	2.47E-02
 C9orf103 	-0.051711	5.96E-01
 C9orf11 	-0.0151944	4.15E-02
 C9orf114 	0.1087142	8.01E-02
 C9orf116 	0.0737659	7.50E-02
 C9orf123 	0.2326776	1.33E-01
 C9orf125 	-0.0607137	5.03E-01
 C9orf130 	-0.0141503	2.54E-01
 C9orf131 	-0.0220481	2.05E-02
 C9orf140 	0.1631198	5.92E-04
 C9orf142 	0.3131324	2.03E-05
 C9orf150 	0.510259	5.29E-05
 C9orf156 	0.0637378	2.29E-02
 C9orf16 	-0.077754	4.22E-01
 C9orf163 	0.0083384	7.67E-01
 C9orf170 	-0.046744	2.16E-01
 C9orf23 	0.3230078	1.26E-03
 C9orf24 	-0.0430516	2.43E-02
 C9orf25 	0.0963672	3.48E-02
 C9orf27 	-0.0007218	9.44E-01
 C9orf3 	0.1451878	7.07E-05
 C9orf30 	0.7273646	7.46E-11
 C9orf31 	-0.0123247	2.49E-01
 C9orf37 	0.1075866	4.98E-02
 C9orf38 	-0.0047976	6.37E-01
 C9orf40 	0.0372097	3.94E-01
 C9orf41 	0.1776428	2.27E-03
 C9orf43 	-0.0225272	5.81E-03
 C9orf46 	0.3294344	3.02E-02
 C9orf47 	0.0084998	8.16E-01
 C9orf5 	0.0535044	6.06E-01
 C9orf50 	-0.048408	3.83E-03
 C9orf53 	0.0497305	5.09E-02
 C9orf6 	0.1793282	5.83E-03
 C9orf62 	-0.0338909	5.53E-02
 C9orf64 	0.1187001	1.84E-01
 C9orf66 	-0.0175601	2.50E-01
 C9orf68 	0.0149952	7.23E-01
 C9orf70 	-0.0558342	7.46E-02
 C9orf71 	0.0051009	8.97E-01
 C9orf72 	0.0627672	4.56E-02
 C9orf78 	0.2054225	3.43E-04
 C9orf79 	-0.0384685	7.73E-04
 C9orf80 	0.1119794	3.29E-02
 C9orf82 	0.1419727	1.60E-02
 C9orf84 	-0.0071037	4.94E-01
 C9orf85 	0.3473493	2.00E-06
 C9orf86 	0.0035224	9.14E-01
 C9orf89 	0.2673578	3.01E-07
 C9orf9 	-0.0211813	4.11E-01
 C9orf91 	-0.2416062	3.71E-05
 C9orf93 	-0.0208918	2.65E-02
 C9orf95 	-0.1749625	1.90E-02
 C9orf96 	-0.0592872	8.46E-02
 C9orf98 	-0.0100567	4.94E-01
 CA1 	0.0349313	8.69E-01
 CA10 	-0.0196492	4.13E-03
 CA11 	-0.1958555	2.09E-06
 CA12 	-0.1577932	3.84E-01
 CA13 	0.2896568	8.79E-03
 CA14 	0.0009221	9.62E-01
 CA2 	-1.6848169	1.99E-04
 CA3 	0.0468665	1.46E-01
 CA4 	0.0610842	7.51E-01
 CA5A 	-0.0019634	9.30E-01
 CA5B 	0.092238	1.46E-01
 CA6 	-0.0131339	1.18E-01
 CA7 	-0.0476201	5.97E-03
 CA8 	0.056471	6.06E-01
 CA9 	-2.4626382	4.14E-10
 CAB39 	0.176116	5.05E-02
 CAB39L 	-0.2371534	2.22E-02
 CABIN1 	0.151262	1.77E-02
 CABLES1 	0.407693	4.70E-02
 CABP1 	-0.0482178	1.57E-02
 CABP2 	-0.1593018	1.79E-04
 CABP4 	-0.0525578	7.13E-02
 CABP5 	0.0000606	9.97E-01
 CABP7 	-0.0560495	4.05E-03
 CABYR 	0.069045	3.02E-02
 CACHD1 	-0.2219249	4.21E-02
 CACNA1A 	-0.0850993	4.35E-09
 CACNA1B 	-0.0351732	2.04E-04
 CACNA1C 	-0.0474934	8.86E-03
 CACNA1D 	0.1994303	1.71E-03
 CACNA1E 	0.0137432	4.11E-01
 CACNA1F 	-0.0191186	7.69E-02
 CACNA1G 	-0.0344585	7.85E-05
 CACNA1H 	-0.0416986	1.14E-01
 CACNA1I 	-0.0417854	3.00E-03
 CACNA1S 	-0.0210774	1.03E-02
 CACNA2D1 	0.014071	8.52E-01
 CACNA2D2 	-0.2038734	2.67E-08
 CACNA2D3 	-0.09917	3.70E-06
 CACNA2D4 	-0.0230519	2.69E-02
 CACNB1 	0.1436207	1.32E-01
 CACNB2 	0.0219985	1.31E-01
 CACNB3 	0.4011008	5.10E-08
 CACNB4 	-0.0306179	6.76E-02
 CACNG1 	-0.0285735	1.86E-02
 CACNG2 	-0.0124626	2.58E-01
 CACNG3 	-0.0105756	1.46E-01
 CACNG4 	0.1176877	4.81E-02
 CACNG5 	-0.0480711	1.29E-02
 CACNG6 	-0.045574	1.65E-01
 CACNG7 	-0.0311496	2.40E-02
 CACNG8 	-0.1444994	5.80E-07
 CACYBP 	0.255389	2.08E-07
 CAD 	0.5482952	1.19E-09
 CADM1 	-0.0158109	8.33E-01
 CADM2 	-0.1409076	1.82E-03
 CADM3 	-0.0655074	2.29E-03
 CADM4 	-0.0513796	2.91E-01
 CADPS 	0.1448882	1.59E-01
 CADPS2 	-0.1289862	6.09E-02
 CAGE1 	-0.0103606	5.96E-02
 CALB1 	0.4143116	2.28E-01
 CALB2 	0.0489021	6.57E-01
 CALCA 	-0.0868186	3.80E-02
 CALCB 	-0.0166443	2.16E-01
 CALCOCO1 	-0.1472772	9.28E-02
 CALCOCO2 	0.4305321	1.00E-05
 CALCR 	-0.0024814	7.51E-01
 CALCRL 	0.4604694	4.52E-05
 CALD1 	0.6177923	5.10E-08
 CALHM1 	-0.043127	3.18E-04
 CALHM2 	0.0382139	5.20E-01
 CALHM3 	-0.017177	5.55E-01
 CALM1 	0.1292006	5.08E-02
 CALM2 	1.3125226	8.15E-06
 CALM3 	0.38234	3.36E-03
 CALML3 	-0.0175175	3.21E-01
 CALML4 	0.9172761	6.90E-06
 CALML5 	-0.1037897	1.04E-03
 CALML6 	-0.0382735	4.15E-01
 CALN1 	-0.035181	3.81E-03
 CALR 	0.4236157	1.34E-03
 CALR3 	-0.0174117	2.31E-02
 CALU 	0.805936	4.36E-10
 CALY 	-0.110242	4.53E-05
 CAMK1 	0.1336898	1.03E-02
 CAMK1D 	0.1133091	7.64E-02
 CAMK1G 	-0.0067573	4.72E-01
 CAMK2A 	-0.007589	4.37E-01
 CAMK2B 	-0.052127	6.39E-04
 CAMK2D 	-0.0304689	7.65E-01
 CAMK2G 	0.4688123	1.18E-04
 CAMK2N1 	1.8221503	5.83E-09
 CAMK2N2 	-0.0474301	2.14E-01
 CAMK4 	-0.0229381	5.75E-01
 CAMKK1 	0.0631886	1.58E-03
 CAMKK2 	0.0555904	7.66E-02
 CAMKV 	0.0056426	7.08E-01
 CAMLG 	0.0257474	6.72E-01
 CAMP 	-0.09767	9.14E-03
 CAMSAP1 	0.3200861	5.19E-07
 CAMSAP1L1 	0.4188699	2.92E-06
 CAMTA1 	0.0365573	1.50E-01
 CAMTA2 	-0.1333036	6.29E-04
 CAND1 	0.4736509	8.15E-07
 CANT1 	0.2887952	3.85E-03
 CANX 	0.3447055	1.56E-03
 CAP1 	0.9033187	4.26E-08
 CAP2 	0.2477134	1.42E-05
 CAPG 	1.0610852	2.09E-06
 CAPN1 	0.2952678	1.19E-03
 CAPN10 	0.0882884	1.20E-03
 CAPN11 	-0.0044392	6.90E-01
 CAPN12 	0.0201828	6.14E-01
 CAPN13 	-0.7498761	2.22E-08
 CAPN2 	-0.2798852	4.95E-02
 CAPN3 	0.0149084	6.06E-01
 CAPN5 	0.2217865	2.03E-01
 CAPN6 	0.1095076	6.32E-01
 CAPN7 	0.1668014	2.53E-02
 CAPN9 	-0.9221424	1.04E-05
 CAPNS1 	0.3185234	2.54E-03
 CAPNS2 	0.006379	7.00E-01
 CAPRIN1 	0.8436548	3.80E-08
 CAPRIN2 	0.0963914	2.43E-01
 CAPS 	-0.0723456	6.38E-01
 CAPS2 	-0.0020761	8.23E-01
 CAPSL 	-0.0133872	8.76E-02
 CAPZA1 	0.8133999	5.70E-07
 CAPZA2 	0.8832192	5.24E-07
 CAPZA3 	-0.0477632	1.56E-01
 CAPZB 	0.6548594	6.16E-06
 CARD10 	0.1392765	1.68E-02
 CARD11 	0.1683184	3.46E-02
 CARD14 	0.0270658	1.46E-01
 CARD18 	0.0449262	4.09E-01
 CARD6 	-0.1280316	1.55E-02
 CARD8 	0.0014353	9.85E-01
 CARD9 	-0.0191226	5.92E-01
 CARHSP1 	0.9615525	2.13E-09
 CARKD 	0.0721292	4.48E-01
 CARM1 	0.39992	2.38E-06
 CARNS1 	-0.150942	2.38E-02
 CARS 	0.2063332	1.68E-02
 CARS2 	0.3329184	1.24E-03
 CARTPT 	-0.0283068	3.87E-02
 CASC1 	-0.0057196	3.64E-01
 CASC2 	0.0093973	2.76E-01
 CASC3 	0.078859	3.78E-01
 CASC4 	0.1013568	3.56E-02
 CASC5 	0.33575	1.55E-06
 CASD1 	0.1465157	9.58E-03
 CASK 	0.7961163	7.84E-07
 CASKIN1 	-0.1073564	2.85E-05
 CASKIN2 	-0.0031144	9.45E-01
 CASP1 	0.471889	1.23E-02
 CASP10 	0.1428598	3.02E-02
 CASP12 	-0.0071884	3.60E-01
 CASP14 	-0.0030615	7.87E-01
 CASP2 	0.4587282	4.40E-12
 CASP3 	0.3436839	1.58E-02
 CASP4 	0.2019814	1.60E-01
 CASP5 	0.1727224	2.57E-01
 CASP6 	0.3062114	3.62E-02
 CASP7 	0.0837934	5.66E-01
 CASP8 	0.3207214	1.07E-06
 CASP8AP2 	0.2200096	1.40E-06
 CASP9 	0.1348679	7.32E-03
 CASQ1 	-0.0107965	2.03E-01
 CASQ2 	0.0455781	2.02E-01
 CASR 	-0.0343449	3.87E-03
 CASS4 	0.0024215	7.62E-01
 CAST 	0.4570558	2.29E-04
 CASZ1 	-0.1572726	7.13E-02
 CAT 	0.2280832	2.98E-01
 CATSPER1 	-0.019223	3.04E-02
 CATSPER2 	0.0727688	8.86E-03
 CATSPER2P1 	-0.1553171	8.83E-02
 CATSPER3 	0.0433804	3.24E-02
 CATSPERB 	0.1106934	4.97E-02
 CATSPERG 	-0.0239471	5.04E-03
 CAV1 	0.1256279	2.10E-01
 CAV2 	0.4562673	6.86E-03
 CAV3 	-0.0352213	8.37E-02
 CBARA1 	0.1448593	2.65E-02
 CBFA2T2 	0.1817244	1.33E-04
 CBFA2T3 	-0.1589666	2.93E-07
 CBFB 	0.9672808	9.03E-12
 CBL 	0.3430082	1.99E-07
 CBLB 	0.0759058	2.09E-01
 CBLC 	0.329955	5.07E-04
 CBLL1 	0.1744273	4.97E-03
 CBLN1 	0.0409419	5.32E-01
 CBLN2 	-0.0019331	8.73E-01
 CBLN3 	-0.0454926	6.40E-03
 CBLN4 	-0.005897	5.22E-01
 CBR1 	-0.2318858	2.94E-01
 CBR3 	0.3475749	2.00E-04
 CBR4 	0.1069284	3.01E-01
 CBS 	-0.3861368	1.44E-03
 CBWD3 	0.0320319	4.98E-01
 CBX1 	0.0441658	4.24E-01
 CBX2 	-0.0007432	9.90E-01
 CBX3 	0.7076765	1.91E-08
 CBX4 	0.1109479	1.21E-02
 CBX5 	0.2261348	7.31E-02
 CBX6 	0.0521578	5.41E-01
 CBX7 	-0.2145595	1.77E-03
 CBX8 	0.0370958	3.80E-01
 CBY1 	0.0832659	1.58E-01
 CC2D1A 	0.0944766	9.58E-02
 CC2D1B 	0.0706424	1.07E-01
 CC2D2B 	0.001276	8.46E-01
 CCAR1 	0.2912333	1.31E-04
 CCBE1 	-0.0812007	2.54E-04
 CCBL1 	0.0192824	5.81E-01
 CCBL2 	0.1471807	1.22E-01
 CCBP2 	-0.035778	1.36E-02
 CCDC101 	0.1495109	1.03E-01
 CCDC102A 	-0.0526459	5.56E-02
 CCDC102B 	0.0568799	1.25E-01
 CCDC103 	0.0856985	2.29E-02
 CCDC104 	0.1529494	2.55E-02
 CCDC105 	-0.064634	5.33E-04
 CCDC106 	-0.1916786	4.52E-05
 CCDC107 	-0.465766	5.02E-08
 CCDC108 	0.0160184	2.66E-01
 CCDC109A 	0.4540153	2.15E-02
 CCDC109B 	0.6382782	9.66E-04
 CCDC11 	-0.0063868	5.64E-01
 CCDC110 	-0.0859794	3.37E-03
 CCDC111 	0.031154	5.03E-01
 CCDC112 	0.1057409	8.90E-03
 CCDC113 	-0.0063368	7.78E-01
 CCDC114 	-0.0282184	5.24E-02
 CCDC115 	0.2217321	2.29E-03
 CCDC116 	-0.0441104	2.06E-03
 CCDC117 	0.2055132	1.42E-03
 CCDC12 	0.3219694	3.14E-04
 CCDC120 	0.0700064	7.24E-02
 CCDC121 	0.0606132	3.02E-01
 CCDC122 	0.0359631	8.17E-02
 CCDC123 	0.1837827	4.01E-06
 CCDC124 	0.2395407	5.50E-03
 CCDC125 	-0.0572894	2.80E-01
 CCDC126 	0.3111902	6.57E-04
 CCDC127 	0.372005	3.93E-04
 CCDC129 	0.0050236	8.94E-01
 CCDC13 	-0.014773	1.78E-01
 CCDC130 	0.0692412	1.23E-01
 CCDC132 	0.0956372	2.78E-05
 CCDC134 	0.2548332	4.82E-05
 CCDC135 	-0.0287667	1.26E-03
 CCDC136 	0.0359801	6.87E-02
 CCDC137 	0.0466316	1.29E-01
 CCDC138 	0.0822889	1.51E-04
 CCDC14 	0.4378254	4.07E-08
 CCDC140 	-0.0227538	1.95E-01
 CCDC141 	0.0851063	5.00E-01
 CCDC142 	0.1363632	7.12E-04
 CCDC144A 	-0.0294317	2.60E-02
 CCDC144B 	0.0278599	6.18E-01
 CCDC144NL 	0.078649	4.02E-01
 CCDC146 	0.077995	2.84E-02
 CCDC148 	0.0022178	7.54E-01
 CCDC149 	-0.1821942	2.09E-04
 CCDC15 	0.0127799	3.48E-01
 CCDC150 	0.1121286	1.23E-03
 CCDC151 	-0.0581443	1.74E-03
 CCDC155 	-0.0440462	8.15E-04
 CCDC158 	-0.0064015	2.93E-01
 CCDC17 	-0.0248947	5.01E-02
 CCDC18 	0.0454894	4.95E-04
 CCDC19 	-0.0036142	8.07E-01
 CCDC21 	0.3070446	6.22E-06
 CCDC22 	0.0836312	9.79E-02
 CCDC23 	0.5650052	3.14E-06
 CCDC24 	0.1369714	4.44E-03
 CCDC25 	0.2307695	8.89E-02
 CCDC26 	-0.0161238	6.11E-02
 CCDC27 	-0.080957	1.32E-05
 CCDC28A 	0.1106442	4.30E-01
 CCDC28B 	0.0207251	2.90E-01
 CCDC3 	0.4210439	5.70E-07
 CCDC30 	0.0170426	2.27E-01
 CCDC33 	-0.0118839	4.81E-01
 CCDC34 	0.3489902	6.80E-05
 CCDC36 	-0.0113994	2.17E-01
 CCDC37 	-0.0203652	2.81E-02
 CCDC38 	-0.0116908	4.69E-02
 CCDC40 	0.0022483	9.37E-01
 CCDC41 	0.1404394	3.70E-04
